sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;GPS NMEA;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-9.8124;8.7386;-8.3901;-7.7029;3.888;-4.6603;1.8209;3.138;-4.5481;37.42;7.33;-9.75;0.0842;33.84;-0.18;-16.98;75.95;-23.36;121.17;59.681;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";25009;2016-12-23 06:49:03:970
-13.3449;4.0731;-2.5296;-7.4322;3.8068;-5.1421;-0.5656;4.1665;-3.0831;83.32;-1.67;29.26;0.0842;36.6;-1.56;-15.3;78.73;-22.84;124.68;67.918;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";26010;2016-12-23 06:49:04:971
-18.9221;-1.0328;-7.1261;-9.024;-1.8239;-3.378;-3.1506;4.2978;-4.0084;-87.79;51.17;-38.18;0.0842;24.06;24.24;-28.8;59.1;10.72;110.52;68.626;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";27010;2016-12-23 06:49:05:971
-15.3611;-6.7719;-2.4701;-8.5912;-2.0156;-4.2777;-4.4674;1.0226;-2.7956;44.15;24.49;42.73;0.0842;-6.78;16.98;7.38;331.5;11.86;116.47;55.012;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";28011;2016-12-23 06:49:06:972
-16.1418;-4.1701;6.5015;-8.6286;-1.323;-4.4684;-2.7101;0.598;-3.451;-34.06;39.27;-25.6;0.0842;3.36;16.98;6.54;343.23;7.75;117.38;61.776;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";29009;2016-12-23 06:49:07:970
-3.0831;0.5121;-10.7038;-8.6035;-0.461;-4.6837;0.1668;-0.309;4.5124;-47.83;75.53;10.96;0.0842;4.5;4.5;10.62;294.82;2.69;118.56;60.782;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";30011;2016-12-23 06:49:08:972
-4.3281;0.5049;-3.577;-8.7197;-0.0783;-4.4868;3.1614;1.843;-6.7824;-49.42;-8.28;-11.37;0.0842;1.98;3.42;9.54;290.29;0.46;117.23;61.388;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";31010;2016-12-23 06:49:09:971
-5.692;-0.7733;-5.5027;-8.3365;0.4679;-5.1434;3.9471;0.4188;0.3307;-32.93;4.6;10.99;0.0842;-3.3;6.12;6.84;308.78;-0.63;123.78;66.498;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";32009;2016-12-23 06:49:10:970
-5.5778;-1.5374;-6.1787;-8.3339;0.4204;-5.1516;3.8092;0.0137;0.9085;-25.49;20.54;-0.6;0.0842;-6.48;15.24;-1.38;350.92;-0.69;122.56;66.699;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";33011;2016-12-23 06:49:11:972
-10.0433;-1.8611;-8.7186;-8.3404;0.3623;-5.1456;3.3152;-1.5607;-0.7604;11.13;-0.14;18.15;0.0842;-4.32;19.38;-17.76;35.92;-0.17;119.32;64.185;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";34009;2016-12-23 06:49:12:970
-8.6508;-1.9659;-8.9923;-8.2809;0.5711;-5.2221;1.8134;-1.955;-1.7772;-9.34;52.25;13.63;0.0842;1.44;20.64;-22.98;44.55;-1.3;119.92;63.924;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";35012;2016-12-23 06:49:13:973
-7.9891;-3.0585;-9.8683;-8.2114;-0.3601;-5.3492;2.1317;-3.1262;-1.6055;-44.19;-9.63;-8.77;0.0842;-0.06;23.58;-23.16;38.86;4.89;119.37;64.002;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";36009;2016-12-23 06:49:14:970
-6.8751;-1.2303;-7.1832;-7.6697;-1.3739;-5.9547;1.3041;0.2153;-0.1685;73.28;-3.08;50.04;0.0842;7.08;20.1;-39.18;57.23;6.9;129.69;64.465;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";37011;2016-12-23 06:49:15:972
-9.7577;-0.1544;-2.5153;-8.4995;-1.8268;-4.5379;-2.3536;1.832;0.855;-14.45;-28.02;2.58;0.0842;8.04;-20.82;-48.0;110.37;12.11;120.59;61.085;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";38012;2016-12-23 06:49:16:973
-9.2435;-3.3346;-1.1633;-9.067;-3.2285;-1.8804;0.1727;-0.6513;0.2136;-25.71;-3.63;-22.54;0.0842;-1.5;-6.06;-55.02;92.58;16.42;101.33;47.075;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";39009;2016-12-23 06:49:17:970
-9.2007;-3.5988;-0.5682;-9.1676;-3.394;-0.7791;-0.1919;0.9638;0.3476;9.3;-2.19;0.74;0.0842;-3.54;-1.74;-52.44;88.52;20.26;95.83;40.215;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";40010;2016-12-23 06:49:18:971
-8.2533;-4.6367;-1.8155;-9.2454;-3.2666;-0.148;-0.0707;0.4195;-0.3369;19.89;47.62;13.23;0.0842;0.96;-3.96;-48.84;96.26;17.17;85.13;55.643;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";41010;2016-12-23 06:49:19:971
-8.6104;-1.4708;-4.7005;-8.5972;-0.9645;-4.6183;0.2955;1.0914;0.1985;11.93;22.38;8.88;0.0842;4.92;-16.38;-49.98;105.83;8.18;115.75;55.461;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";42012;2016-12-23 06:49:20:973
-8.9626;-1.9944;-2.6748;-8.8842;-2.7179;-3.1391;0.2837;-1.2354;0.9726;-4.41;-14.16;-15.26;0.0842;4.8;-21.0;-49.08;110.22;12.87;111.91;48.561;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";43010;2016-12-23 06:49:21:971
-9.5768;1.6332;7.0E-4;-9.7759;0.7512;-0.1939;-0.0526;0.7426;0.295;-17.11;-6.96;-9.14;0.0842;-7.68;-39.18;-41.28;134.56;-5.72;93.36;51.226;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";44009;2016-12-23 06:49:22:970
