sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;GPS NMEA;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.2833;3.5018;7.2775;-4.1092;3.3574;8.247;1.6674;-0.1099;-3.1257;-60.7;-55.57;6.16;4.7158;23.4;5.4;20.58;273.39;-20.02;26.49;53.731;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";9;2016-12-23 06:48:38:970
-2.7475;4.2731;9.1556;-3.2814;2.8536;8.7898;1.0081;1.1177;0.1273;-74.62;6.09;63.68;4.6316;17.46;-24.06;-63.78;120.37;-16.92;20.47;52.825;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";1010;2016-12-23 06:48:39:971
-2.9641;3.7946;4.9805;-5.4819;3.7327;7.224;2.1226;0.3686;-2.2499;-31.83;-25.97;-14.48;3.9579;52.56;-7.08;186.18;251.86;-22.37;37.19;59.22;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";2009;2016-12-23 06:48:40:970
-1.5478;3.5399;6.4682;-1.5933;3.4831;9.0277;-0.5512;1.0062;-0.9124;-21.89;10.52;48.95;2.1053;-710.16;-49.98;-119.46;96.84;-20.79;18.21;54.892;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";3010;2016-12-23 06:48:41:971
-1.2217;2.3521;6.3825;-1.0771;1.98;9.5441;-1.142;-0.9929;-1.6677;-35.07;-24.13;17.36;2.6947;-695.94;6.18;-480.12;83.77;-15.74;14.01;48.995;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";4009;2016-12-23 06:48:42:970
0.7326;3.5209;8.0083;0.6612;2.8895;9.3479;-0.1436;-0.2353;-3.545;6.24;-12.11;22.53;2.4421;-891.06;-3.72;-603.84;78.17;-17.46;-1.34;50.274;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";5010;2016-12-23 06:48:43:971
1.0682;3.8779;9.5889;1.0087;3.4819;9.1121;0.7934;0.1547;-2.2263;24.63;-43.74;-6.75;26.6105;-805.74;4.74;-747.48;71.85;-17.48;-4.12;45.343;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";6009;2016-12-23 06:48:44:970
0.0471;3.4209;9.2056;0.8741;2.9648;9.3068;-0.2083;0.1424;0.043;31.67;-31.84;-13.55;0.0;338.82;90.36;-577.74;302.58;-17.6;-5.37;73.827;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";7009;2016-12-23 06:48:45:970
-4.6113;7.3676;-2.0464;-5.3671;8.1958;0.4405;1.217;-1.5326;-2.5248;-115.45;80.0;-34.11;0.0;356.34;74.82;-557.1;54.46;-56.69;85.31;61.846;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";8009;2016-12-23 06:48:46:970
-11.7953;9.4171;-4.6553;-6.8687;6.901;1.1697;1.8018;-1.0849;-0.763;85.24;-44.61;28.36;0.0;346.44;51.6;-558.6;55.17;-44.72;80.34;62.642;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";9009;2016-12-23 06:48:47:970
-10.7432;7.8627;-0.6801;-6.024;7.3475;-2.4281;2.3329;0.7768;4.2961;-171.21;-62.51;-63.26;0.0;352.08;89.34;-548.64;76.84;-48.52;111.95;59.45;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";10009;2016-12-23 06:48:48:970
-12.3071;-2.8657;1.9169;-8.8198;-3.3748;2.6445;-8.5065;1.7254;2.5412;-1.18;-63.98;53.7;0.0842;-17.04;36.84;40.26;322.96;20.13;73.31;76.87;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";11009;2016-12-23 06:48:49:970
-7.4178;-3.7583;3.1404;-7.3547;-3.1741;5.6572;-0.0624;-0.584;-2.5172;-39.72;21.25;-12.05;0.0842;11.22;48.66;14.94;338.2;18.88;52.43;61.642;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";12010;2016-12-23 06:48:50:971
-11.0431;-0.7805;2.3192;-8.2197;-3.778;3.786;-2.8226;2.998;-1.4672;111.13;-50.97;8.27;0.0842;6.06;41.28;21.36;328.06;32.85;71.37;68.419;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";13010;2016-12-23 06:48:51:971
-11.7524;-3.1275;2.4715;-7.0284;-3.7021;5.7504;-4.7788;0.5458;-3.2341;-33.63;-37.35;11.15;0.0842;5.7;45.78;20.46;336.42;21.81;54.3;70.277;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";14011;2016-12-23 06:48:52:972
-10.2719;-4.5224;7.5251;-6.6408;-3.9779;6.0205;-3.6758;-0.5714;1.5453;-28.83;-10.94;-23.77;0.0842;9.96;59.16;20.4;339.22;21.24;48.88;64.65;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";15011;2016-12-23 06:48:53:972
-9.5482;-4.4581;0.2768;-9.1901;-3.0025;1.6423;-0.4929;-1.4997;-1.3414;-43.52;65.92;-135.7;0.0842;53.28;66.18;13.62;331.75;7.22;68.85;60.874;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";16009;2016-12-23 06:48:54:970
-8.0795;-4.0368;0.9195;-6.5826;-7.0732;1.6762;-1.669;1.4567;1.6236;41.19;-11.15;2.37;0.0842;13.74;83.64;11.16;342.88;50.13;76.44;40.595;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";17010;2016-12-23 06:48:55:971
-6.4061;-2.5919;-4.1197;-9.2956;1.3858;-2.8004;4.3508;-3.0643;3.2862;79.53;-26.1;54.4;0.0842;53.64;20.46;-33.66;68.06;1.05;106.21;44.101;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";18012;2016-12-23 06:48:56:973
-7.2321;-0.6329;-2.9605;-9.2174;-0.6874;-3.2769;1.8155;-0.5333;-0.2387;106.75;22.44;-26.33;0.0842;47.28;15.3;-34.5;66.04;-6.46;102.43;71.04;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";19011;2016-12-23 06:48:57:972
-8.0557;-2.9323;-0.542;-9.0362;-3.1666;-2.119;0.6076;0.2877;1.6022;3.58;-12.63;-23.43;0.0842;20.34;-1.8;-61.56;93.62;15.55;100.75;54.965;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";20011;2016-12-23 06:48:58:972
-4.1829;2.2426;-3.2342;-9.1424;1.4332;-3.2455;1.7103;0.9038;-3.4451;129.65;-87.38;37.62;0.0842;26.28;-40.38;-42.12;128.34;-10.66;120.12;66.976;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";21010;2016-12-23 06:48:59:971
-0.767;2.8258;-1.0752;-6.724;6.4686;-3.0192;3.8667;-3.0958;2.117;25.55;-66.91;40.46;0.1684;-1.08;-28.98;17.28;221.8;-41.27;114.18;57.346;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";22009;2016-12-23 06:49:00:970
-10.5218;6.6963;-8.0354;-7.5087;4.9224;-3.9447;-0.4361;-1.2179;-2.2168;45.22;0.13;15.06;0.0842;3.42;-1.14;-9.0;99.89;-30.13;117.72;66.892;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";23011;2016-12-23 06:49:01:972
-9.1055;9.8217;-8.4448;-7.5053;4.6937;-4.2203;0.4495;2.9645;-1.896;38.83;-42.67;-3.3;0.0842;20.46;0.9;-16.5;77.03;-28.6;119.35;62.705;20.97256;105.75804;;NaN;;161.29031;;0 / 20;"$GPGSV,5,5,20,84,38,001,,83,36,075,,85,05,320,,68,21,028,*7F::$GPGGA,,,,,,0,,,,,,,,*66::$GPVTG,,T,,M,,N,,K,N*2C::$GPRMC,,V,,,,,,,,,,N*53::$GPGSA,A,1,,,,,,,,,,,,,,,*1E";24011;2016-12-23 06:49:02:972
